clock,period,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,shotValue
PT12M00.00S,1,,0,,,0,0,0,,0,0,0,0,,Start of 1st Period (8:41 PM EST),period,start,0
PT12M00.00S,1,DAL,203939,Powell,D. Powell,0,0,0,,0,,,0,h,Jump Ball Powell vs. Olbrich: Tip to Sexton,Jump Ball,,0
PT11M54.00S,1,CHI,1631159,Miller,L. Miller,4,16,2,Made,1,0,2,2,v,Miller 2' Driving Dunk (2 PTS) (Sexton 1 AST),Made Shot,Driving Dunk Shot,2
PT11M37.00S,1,DAL,203939,Powell,D. Powell,-10,8,1,Made,1,2,2,4,h,Powell 1' Driving Hook Shot (2 PTS) (Middleton 1 AST),Made Shot,Driving Hook Shot,2
PT11M22.00S,1,CHI,1630172,Williams,P. Williams,105,232,25,Missed,1,,,0,v,MISS Williams 25' 3PT Jump Shot,Missed Shot,Jump Shot,3
PT11M19.00S,1,DAL,203939,Powell,D. Powell,0,0,0,,0,,,0,h,Powell REBOUND (Off:0 Def:1),Rebound,Unknown,0
PT11M12.00S,1,DAL,1642843,Flagg,C. Flagg,-136,126,19,Missed,1,,,0,h,MISS Flagg 19' Step Back Jump Shot,Missed Shot,Step Back Jump shot,2
PT11M09.00S,1,CHI,1629012,Sexton,C. Sexton,0,0,0,,0,,,0,v,Sexton REBOUND (Off:0 Def:1),Rebound,Unknown,0
PT11M00.00S,1,CHI,1630200,Jones,T. Jones,-113,41,12,Made,1,2,4,6,v,Jones 12' Driving Floating Jump Shot (2 PTS) (Olbrich 1 AST),Made Shot,Driving Floating Jump Shot,2
PT10M41.00S,1,DAL,1631108,Christie,M. Christie,125,218,25,Made,1,5,4,9,h,Christie 25' 3PT Jump Shot (3 PTS) (Powell 1 AST),Made Shot,Jump Shot,3
PT10M28.00S,1,CHI,1629012,Sexton,C. Sexton,-199,-5,20,Missed,1,,,0,v,MISS Sexton 20' Pullup Jump Shot,Missed Shot,Pullup Jump shot,2
PT10M25.00S,1,DAL,203114,Middleton,K. Middleton,0,0,0,,0,,,0,h,Middleton REBOUND (Off:0 Def:1),Rebound,Unknown,0
PT10M24.00S,1,DAL,203114,Middleton,K. Middleton,0,0,0,,0,,,0,h,Middleton Bad Pass Turnover (P1.T1),Turnover,Bad Pass,0
PT10M24.00S,1,CHI,1629012,Sexton,C. Sexton,0,0,0,,0,,,0,v,Sexton STEAL (1 STL),,,0
PT10M20.00S,1,CHI,1629012,Sexton,C. Sexton,20,31,4,Missed,1,,,0,v,MISS Sexton 4' Driving Layup,Missed Shot,Driving Layup Shot,2
PT10M18.00S,1,DAL,203939,Powell,D. Powell,0,0,0,,0,,,0,h,Powell REBOUND (Off:0 Def:2),Rebound,Unknown,0
